"Order","Overruling Decision","Year of Overruling Decision","Overruled Decision(s)","Year(s) of Overruled Decision(s)"
"185","Helvering v. Hallock,309 U.S. 106  (1940)","1940","Becker v. St. Louis Union Trust Co.,296 U.S. 48 (1935); Helvering v. St. Louis Union Trust Co., 296 U.S. 39 (1935)","1935"
"186","Madden v. Kentucky,309 U.S. 83  (1940)","1940","Colgate v. Harvey,296 U.S. 404 (1935)","1935"
"187","Tigner v. Texas,310 U.S. 141  (1940)","1940","Connolly v. Union Sewer Pipe Co.,184 U.S. 540 (1902)","1902"
"188","Graves v. New York ex rel. O’Keefe,306 U.S. 466  (1939)","1939","New York ex rel. Rogers v. Graves,299 U.S. 401 (1937); Collector v. Day, 78 U.S. (11 Wall.) 113 (1871)","19371871"
"189","O’Malley v. Woodrough,307 U.S. 277  (1939)","1939","Miles v. Graham,268 U.S. 501 (1925); Evans v. Gore, 253 U.S. 245 (1920)","19251920"
"190","Rochester Telephone Corp. v. United States,307 U.S. 125  (1939)","1939","Procter & Gamble Co. v. United States,225 U.S. 282 (1912)","1912"
"191","Erie Railroad v. Tompkins,304 U.S. 64  (1938)","1938","Swift v. Tyson,41 U.S. (16 Pet.) 1 (1842)","1842"
"192","Helvering v. Mountain Producers Corp.,303 U.S. 376  (1938)","1938","Burnet v. Coronado Oil & Gas Co.,285 U.S. 393 (1932); Gillespie v. Oklahoma, 257 U.S. 501 (1922)","19321922"
"193","West Coast Hotel Co. v. Parrish,300 U.S. 379  (1937)","1937","Adkins v. Children’s Hosp. of D.C.,261 U.S. 525 (1923)","1923"
"194","Funk v. United States,290 U.S. 371  (1933)","1933","Jin Fuey Moy v. United States,254 U.S. 189 (1920); Hendrix v. United States, 219 U.S. 79 (1911)","19201911"
"195","Chicago & Eastern Illinois Railroad v. Industrial Commission,284 U.S. 296  (1932)","1932","Erie Railroad v. Szary,253 U.S. 86 (1920);Erie Railroad v. Collins, 253 U.S. 77 (1920)","1920"
"196","Fox Film Corp. v. Doyal,286 U.S. 123  (1932)","1932","Long v. Rockwood,277 U.S. 142 (1928)","1928"
"197","East Ohio Gas Co. v. Tax Commission of Ohio,283 U.S. 465  (1931)","1931","Pennsylvania Gas Co. v. Public Service Commission,252 U.S. 23 (1920)","1920"
"198","Farmers Loan & Trust Co. v. Minnesota,280 U.S. 204  (1930)","1930","Blackstone v. Miller,188 U.S. 189 (1903)","1903"
"199","Gleason v. Seaboard Air Line Railway,278 U.S. 349  (1929)","1929","Friedlander v. Texas & Pacific Railway,130 U.S. 416 (1889) (in part)","1889"
"200","Alpha Portland Cement Co. v. Massachusetts,268 U.S. 203  (1925)","1925","Baltic Mining Co. v. Massachusetts,231 U.S. 68 (1913)","1913"
"201","Lee v. Chesapeake & Ohio Railway,260 U.S. 653  (1923)","1923","In re Moore,209 U.S. 490 (1908); Ex parte Wisner, 203 U.S. 449 (1906)","19081906"
"202","Terral v. Burke Construction Co.,257 U.S. 529  (1922)","1922","Security Mutual Life Insurance Co. v. Prewitt,202 U.S. 246 (1906); Doyle v. Cont’l Ins. Co., 94 U.S. 535 (1877)","19061877"
"203","Boston Store of Chicago v. American Graphophone Co.,246 U.S. 8  (1918)","1918","Henry v. A.B. Dick Co.,224 U.S. 1 (1912)","1912"
"204","Rosen v. United States,245 U.S. 467  (1918)","1918","United States v. Reid,53 U.S. (12 How.) 361 (1851)","1851"
"205","Motion Picture Patents Co. v. Universal Film Manufacturing Co.,243 U.S. 502  (1917)","1917","Henry v. A.B. Dick Co.,224 U.S. 1 (1912)","1912"
"206","Pennsylvania Railroad v. Towers,245 U.S. 6  (1917)","1917","Lake Shore & Michigan Southern Railway v. Smith,173 U.S. 684 (1899) (in part)","1899"
"207","United States v. Nice,241 U.S. 591  (1916)","1916","In re Heff,197 U.S. 488 (1905)","1905"
"208","Garland v. Washington,232 U.S. 642  (1914)","1914","Crain v. United States,162 U.S. 625 (1896)","1896"
"209","Minnesota Rate Cases,230 U.S. 352  (1913)","1913","Peik v. Chicago & Northwestern Railway,94 U.S. 164 (1877)","1877"
"210","Roberts v. Lewis,153 U.S. 367  (1894)","1894","Giles v. Little,104 U.S. 291 (1881)","1881"
"211","Brenham v. German American Bank,144 U.S. 173  (1892)","1892","Mitchell v. Burlington,71 U.S. (4 Wall.) 270 (1867); Rogers v. Burlington, 70 U.S. (3 Wall.) 654 (1866)","18671866"
"212","Leisy v. Hardin,135 U.S. 100  (1890)","1890","Peirce v. New Hampshire,46 U.S. (5 How.) 504 (1847)","1847"
"213","Leloup v. Port of Mobile,127 U.S. 640  (1888)","1888","Osborne v. Mobile,83 U.S. (16 Wall.) 479 (1873)","1873"
"214","In re Ayers,123 U.S. 443  (1887)","1887","Osborn v. Bank of the United States,22 U.S. (9 Wheat.) 738 (1824)","1824"
"215","Philadelphia & Southern Mail Steamship Co. v. Pennsylvania,122 U.S. 326  (1887)","1887","State Tax on Railway Gross Receipts,82 U.S. (15 Wall.) 284 (1873)","1873"
"216","Morgan v. United States,113 U.S. 476  (1885)","1885","Texas v. White,74 U.S. (7 Wall.) 700 (1869)","1869"
"217","Kountze v. Omaha Hotel Co.,107 U.S. 378  (1883)","1883","Stafford v. Union Bank of Louisiana,57 U.S. (16 How.) 135 (1853)","1853"
"218","United States v. Phelps,107 U.S. 320  (1883)","1883","Shelton v. Collector,72 U.S. (5 Wall.) 113 (1867)","1867"
"219","Kilbourn v. Thompson,103 U.S. 168  (1881)","1881","Anderson v. Dunn,19 U.S. (6 Wheat.) 204 (1821)","1821"
"220","Tilghman v. Proctor,102 U.S. 707  (1880)","1880","Mitchell v. Tilghman,86 U.S. (19 Wall.) 287 (1873)","1873"
"221","Fairfield v. County of Gallatin,100 U.S. 47  (1879)","1879","Town of Concord v. Portsmouth Savings Bank,92 U.S. 625 (1875)","1875"
"222","County of Cass v. Johnston,95 U.S. 360  (1877)","1877","Harshman v. Bates County,92 U.S. 569 (1875)","1875"
"223","Hornbuckle v. Toombs,85 U.S. (18 Wall.) 648 (1874)","1874","Dunphy v. Kleinsmith & Duer,78 U.S. (11 Wall.) 610 (1870); Orchard v. Hughes, 68 U.S. (1 Wall.) 73, 77 (1864); Noonan v. Lee, 67 U.S. (2 Black) 499 (1863)","187018641863"
"224","Union Pacific Railway v. McShane,89 U.S. (22 Wall.) 444 (1874)","1874","Railway v. Prescott,83 U.S. (16 Wall.) 603 (1873) (in part)","1873"
"225","Knox v. Lee,79 U.S. (12 Wall.) 457 (1871) (Legal Tender Cases)","1871","Hepburn v. Griswold,75 U.S. (8 Wall.) 603 (1870)","1870"
"226","Trebilcock v. Wilson,79 U.S. (12 Wall.) 687 (1871)","1871","Roosevelt v. Meyer,68 U.S. (1 Wall.) 512 (1863)","1863"
"227","The Belfast,74 U.S. (7 Wall.) 624 (1869)","1869","Allen v. Newberry,62 U.S. (21 How.) 244 (1858) (in part)","1858"
"228","Mason v. Eldred,73 U.S. (6 Wall.) 231 (1868)","1868","Sheehy v. Mandeville & Jamesson,10 U.S. (6 Cr.) 253 (1810)","1810"
"229","Suydam v. Williamson,65 U.S. (24 How.) 427 (1861)","1861","Williamson v. Ball,49 U.S. (8 How.) 566 (1850); Williamson v. Irish Presbyterian Congregation, 49 U.S. (8 How.) 565 (1850); Williamson v. Berry, 49 U.S. (8 How.) 495 (1850)","1850"
"230","Gazzam v. Lessee of Phillips,61 U.S. (20 How.) 372 (1857)","1857","Brown’s Lessee v. Clements,44 U.S. (3 How.) 650 (1845)","1845"
"231","The Propeller Genesee Chief,53 U.S. (12 How.) 443 (1851)","1851","The Steamboat Thomas Jefferson,23 U.S. (10 Wheat.) 428 (1825)","1825"
"232","Louisville, Cincinnati & Charleston Railway v. Letson,43 U.S. (2 How.) 497 (1844)","1844","Commercial & Railroad Bank of Vicksburg v. Slocomb,39 U.S. (14 Pet.) 60 (1840); Bank of the United States v. Deveaux, 9 U.S. (5 Cr.) 61 (1809); Strawbridge v. Curtiss, 7 U.S. (3 Cr.) 267 (1806)","184018091806"
"233","Green v. Lessee of Neal,31 U.S. (6 Pet.) 291 (1832)","1832","Powell’s Lessee v. Harman,27 U.S. (2 Pet.) 241 (1829); Patton’s Lessee v. Easton, 14 U.S. (1 Wheat.) 476 (1816)","18291816"
"234","Gordon v. Ogden,28 U.S. (3 Pet.) 33 (1830)","1830","Wilson v. Daniel,3 U.S. (3 Dall.) 401 (1798)","1798"
"235","Hudson v. Guestier,10 U.S. (6 Cr.) 281 (1810)","1810","Rose v. Himely,8 U.S. (4 Cr.) 241 (1808)","1808"
